date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:42	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1ca.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-nestable.html)
15:01:42	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1cb.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-nestable.html)
15:01:44	11804/11804	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/lobi-panel/lobipanel.min.css	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/css/lib/lobi-panel/lobipanel.min.css	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:01:44	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1cd.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:01:44	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1ce.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:01:44	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1cf.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:01:45	1291/1291	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/jquery-ui/jquery.ui.touch-punch.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/jquery-ui/jquery.ui.touch-punch.min.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:02:39	65240/65240	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/portlets/portlets.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/portlets/portlets.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-portlets.html)
15:02:39	296476/296476	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/images/scrollable/view-1-1200x800.jpg	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/images/scrollable/view-1-1200x800.jpg	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-scrollable.html)
15:02:39	123462/123462	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/rangeSlider/moment.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/rangeSlider/moment.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/uc-range-slider-advance.html)
